Age_Group,Gender,Occupation,Income,Shopping_Frequency,Platform,Monthly_Spend,Style,Struggle_Outfits,Occasion_Issue,Body_Fit_Issue,Lack_Inspiration,Budget_Issue,AI_Outfit_Interest,Virtual_TryOn_Interest,Wardrobe_Feature,MixMatch_Feature,AI_Chat,Budget_Feature,Privacy_Comfort,Purchase_Driver,Outfit_Budget,Subscription_Amount,Adoption
22-25,Female,Student,20000-50000,2-3 months,Mixed,4579.8223,Experimental,1,1,0,1,0,1,1,1,1,1,1,High,Trend,300,353.94359,Yes
30,Male,Working Professional,50000-100000,Rarely,Online,6632.0148,Minimal,0,1,0,1,1,1,0,1,1,1,0,Low,Fit,4747.065,407.48659,Maybe
22-25,Female,Working Professional,<20000,Monthly,Online,2922.4303,Formal,1,1,1,0,0,1,1,1,0,1,1,Medium,Brand,2536.0541,134.04851,Yes
22-25,Female,Student,20000-50000,Monthly,Online,3625.885,Formal,1,1,1,1,0,1,1,1,1,0,1,Low,Recommendation,3875.7485,390.50833,Yes
30,Female,Student,<20000,Monthly,Online,4190.9241,Minimal,1,1,1,0,0,0,1,0,1,0,0,Medium,Fit,2151.697,146.70848,Yes
18-21,Female,Self-employed,100000,Monthly,Instagram,1940.7781,Casual,1,0,0,1,1,1,1,0,1,1,1,Medium,Fit,2785.9421,311.18628,Yes
30,Female,Working Professional,50000-100000,Weekly,Offline,4453.8639,Formal,0,0,1,0,0,1,0,0,1,1,0,Medium,Recommendation,4193.3087,114.46294,Maybe
18-21,Female,Self-employed,50000-100000,Monthly,Offline,562.13917,Casual,1,0,0,1,0,1,0,1,0,1,1,Low,Recommendation,2697.5752,319.82156,Maybe
30,Non-binary,Self-employed,50000-100000,Monthly,Mixed,6093.9091,Casual,1,1,0,1,1,1,0,1,1,0,0,Medium,Price,2751.5595,296.86841,Yes
18-21,Male,Student,50000-100000,Monthly,Mixed,4093.2747,Experimental,1,1,1,1,0,1,1,1,1,1,0,Medium,Trend,1309.0884,134.56058,Yes
30,Male,Working Professional,100000,Weekly,Online,2958.2142,Experimental,1,0,0,1,1,1,0,0,1,1,0,Medium,Fit,1698.3647,96.238299,Maybe
22-25,Female,Working Professional,50000-100000,2-3 months,Instagram,6993.7583,Trendy,0,0,0,1,1,0,1,0,0,0,1,Medium,Price,1961.5531,412.59579,No
30,Male,Working Professional,100000,2-3 months,Online,3530.8419,Experimental,0,0,0,1,0,1,0,1,1,1,1,Low,Price,1392.9736,232.04993,Maybe
18-21,Female,Working Professional,20000-50000,Weekly,Online,5376.5194,Formal,0,1,1,1,1,1,1,0,1,1,1,High,Fit,4376.8437,451.80464,Yes
22-25,Male,Working Professional,<20000,2-3 months,Online,5095.478,Formal,1,1,1,1,1,1,0,0,1,0,1,High,Trend,5212.914,218.49094,Yes
30,Female,Working Professional,20000-50000,2-3 months,Online,2588.9241,Casual,1,0,0,1,0,0,1,0,1,0,0,Medium,Recommendation,629.08767,495.32696,Maybe
22-25,Male,Working Professional,<20000,Rarely,Online,2307.9207,Formal,1,1,1,1,0,1,0,1,1,1,0,Medium,Fit,3092.7577,157.74157,Maybe
26-30,Female,Student,20000-50000,Weekly,Online,5313.7974,Experimental,1,1,1,0,1,0,1,0,1,1,1,High,Trend,2023.4629,520.91198,Yes
26-30,Male,Working Professional,20000-50000,Monthly,Offline,2555.3052,Experimental,1,0,1,0,1,1,0,0,1,0,0,Medium,Recommendation,4595.4529,326.15578,Maybe
22-25,Male,Working Professional,50000-100000,Rarely,Instagram,4119.8195,Experimental,1,1,0,0,0,1,0,1,1,0,0,Medium,Brand,2702.2903,359.96951,Yes
26-30,Female,Working Professional,<20000,Rarely,Online,4247.5093,Minimal,0,1,0,1,1,1,1,0,1,1,1,High,Fit,2488.7864,149.39631,Yes
22-25,Female,Student,<20000,2-3 months,Online,4624.1243,Formal,1,0,0,0,0,1,0,0,1,1,0,Medium,Fit,1382.846,409.38228,Yes
30,Non-binary,Working Professional,20000-50000,2-3 months,Mixed,5716.5409,Trendy,1,1,1,1,1,1,1,1,1,1,0,Low,Trend,300,414.58922,Yes
18-21,Female,Student,100000,Weekly,Online,1474.0741,Formal,1,0,1,0,1,1,1,1,1,0,0,Medium,Price,3641.4077,251.33477,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Mixed,500,Formal,0,1,1,0,0,1,1,0,0,0,0,Medium,Price,3029.4679,50,Maybe
30,Female,Working Professional,20000-50000,Monthly,Offline,2865.1054,Minimal,1,1,0,0,1,1,1,0,0,1,1,High,Trend,3066.1662,133.00072,Yes
30,Female,Working Professional,50000-100000,Weekly,Online,7603.0568,Formal,1,1,0,1,1,1,1,0,1,0,0,Low,Fit,1601.0093,132.9779,Yes
22-25,Female,Student,50000-100000,2-3 months,Online,8044.3482,Casual,1,0,0,0,0,1,1,1,1,1,0,Medium,Fit,2281.3473,367.40292,Yes
26-30,Female,Working Professional,20000-50000,Weekly,Online,22987.063,Experimental,1,0,0,1,1,1,1,1,1,0,1,Medium,Fit,7373.213,230.24515,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Online,3614.0373,Experimental,1,1,1,1,0,1,0,0,1,1,1,High,Brand,3973.1689,233.15854,Yes
18-21,Female,Working Professional,20000-50000,Rarely,Online,500,Minimal,1,0,1,1,1,1,1,1,0,1,1,Medium,Price,732.29258,215.05316,Yes
22-25,Female,Working Professional,100000,Weekly,Offline,500,Experimental,1,1,1,0,1,0,1,0,1,1,1,Medium,Brand,1549.9779,520.39354,Maybe
22-25,Female,Working Professional,<20000,Rarely,Online,2771.9237,Casual,1,0,1,1,0,0,0,1,1,1,1,Low,Fit,415.17487,306.80279,No
22-25,Female,Working Professional,20000-50000,Rarely,Offline,3603.8527,Minimal,1,1,1,1,1,1,1,0,1,1,1,High,Price,2801.8966,329.66105,Yes
18-21,Male,Student,<20000,Monthly,Offline,6601.2508,Trendy,1,1,0,0,0,1,1,1,1,1,1,High,Fit,3826.5075,207.09157,Yes
30,Non-binary,Student,20000-50000,Weekly,Online,5735.6109,Experimental,1,1,1,1,1,1,0,1,1,1,1,High,Fit,2081.9267,295.5542,Yes
30,Female,Working Professional,50000-100000,Monthly,Online,4454.8102,Formal,1,0,1,1,0,1,0,0,0,0,1,Medium,Trend,1505.7151,153.6466,Yes
26-30,Male,Working Professional,20000-50000,Monthly,Online,2220.3105,Casual,1,1,0,1,0,0,1,1,0,1,0,High,Price,1997.0472,351.5587,Maybe
22-25,Male,Working Professional,<20000,Monthly,Online,2078.4409,Casual,1,0,1,0,1,0,1,0,1,0,1,Low,Fit,5959.47,128.01696,Maybe
22-25,Female,Student,20000-50000,Monthly,Instagram,4508.2554,Experimental,1,1,1,1,1,0,1,0,1,1,0,High,Recommendation,4287.8921,411.63298,Yes
26-30,Non-binary,Student,<20000,Rarely,Online,5394.102,Trendy,1,0,0,1,0,1,1,1,1,1,1,Medium,Recommendation,3596.4958,189.75716,Yes
26-30,Female,Working Professional,<20000,Weekly,Instagram,4783.7625,Formal,1,1,0,0,1,0,1,0,0,1,1,Medium,Fit,2980.1018,442.25892,Yes
18-21,Female,Student,50000-100000,2-3 months,Online,1930.8041,Trendy,1,1,0,1,1,1,1,1,1,1,1,Medium,Trend,2480.8878,586.09414,Yes
30,Male,Working Professional,50000-100000,Weekly,Online,5301.3353,Trendy,0,1,0,1,1,1,0,1,1,0,0,Low,Fit,1140.0518,300.16517,Maybe
26-30,Female,Student,100000,Monthly,Offline,4851.8219,Experimental,1,1,0,1,0,1,1,1,1,1,0,Medium,Recommendation,907.46436,496.74227,Yes
30,Male,Working Professional,100000,Rarely,Instagram,1858.6672,Formal,1,0,1,1,0,0,0,1,1,1,0,High,Price,1648.134,412.71734,No
26-30,Male,Self-employed,50000-100000,Monthly,Online,2431.3581,Experimental,1,1,0,0,0,1,0,0,0,1,0,High,Trend,1069.3302,85.082694,Maybe
26-30,Female,Student,<20000,Weekly,Online,5376.9919,Experimental,1,0,1,1,1,1,1,1,1,1,1,Low,Fit,1588.2806,316.63917,Yes
22-25,Male,Working Professional,50000-100000,2-3 months,Offline,3530.9849,Casual,0,1,1,1,0,1,1,0,1,1,0,Low,Recommendation,2347.1566,375.17981,Yes
30,Female,Student,50000-100000,2-3 months,Online,7178.2946,Experimental,1,1,1,0,1,1,1,1,1,1,1,High,Price,2462.0476,389.6573,Yes
30,Female,Working Professional,50000-100000,2-3 months,Online,5002.2586,Minimal,1,1,1,1,1,1,1,1,1,1,0,Medium,Recommendation,1569.4281,326.73102,Yes
18-21,Male,Working Professional,20000-50000,Monthly,Offline,3026.7376,Formal,1,0,1,1,0,1,1,1,1,1,0,Medium,Trend,3242.8143,324.79671,Yes
18-21,Male,Working Professional,20000-50000,Monthly,Online,3979.5888,Casual,1,0,1,1,0,0,0,1,0,1,1,Medium,Brand,2216.4904,300.7631,Maybe
22-25,Female,Working Professional,50000-100000,Rarely,Offline,4126.7668,Formal,1,1,0,1,1,1,1,1,1,0,0,Low,Fit,2822.0479,319.97641,Yes
26-30,Female,Working Professional,50000-100000,Rarely,Offline,2543.2194,Casual,1,1,0,1,1,1,1,1,1,1,1,High,Price,1383.1144,116.44815,Yes
30,Male,Student,100000,Monthly,Instagram,2174.8236,Minimal,1,0,1,1,0,1,1,1,1,1,0,Medium,Trend,3539.3088,264.56838,Yes
18-21,Male,Student,<20000,2-3 months,Instagram,5402.7798,Experimental,0,0,1,1,1,0,1,1,1,1,0,Medium,Trend,1697.7308,82.052797,Maybe
22-25,Male,Working Professional,20000-50000,Monthly,Offline,5690.5466,Casual,0,0,1,0,0,1,1,1,1,1,0,Medium,Brand,4912.8314,225.35585,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Offline,5207.5629,Casual,1,1,1,1,1,0,0,1,0,1,0,Medium,Brand,2162.513,211.37917,Maybe
30,Female,Working Professional,50000-100000,Weekly,Mixed,7030.6362,Casual,0,1,1,1,1,1,1,1,1,0,1,Medium,Fit,2357.9739,201.80055,Yes
26-30,Female,Working Professional,<20000,Monthly,Online,2916.4535,Minimal,0,0,0,1,0,1,1,1,0,1,0,High,Fit,3390.3827,142.19878,Maybe
26-30,Male,Working Professional,<20000,Monthly,Online,22045.625,Formal,0,0,1,0,0,1,0,0,0,1,1,Medium,Trend,7435.5506,340.39159,Maybe
22-25,Female,Working Professional,100000,Weekly,Instagram,2198.1578,Minimal,1,1,1,1,1,1,0,0,1,1,1,Medium,Fit,3879.3905,252.28945,Maybe
22-25,Female,Working Professional,<20000,Monthly,Offline,1974.6289,Casual,0,0,0,0,0,1,1,1,1,1,1,High,Fit,5163.382,236.93606,Maybe
22-25,Non-binary,Self-employed,50000-100000,2-3 months,Online,500,Casual,0,1,0,0,1,1,1,0,1,1,0,High,Brand,3492.8283,88.863901,Maybe
18-21,Female,Working Professional,20000-50000,2-3 months,Mixed,3108.4094,Experimental,0,1,0,1,0,0,0,1,1,1,1,Medium,Trend,2399.5203,255.32082,No
30,Non-binary,Student,50000-100000,2-3 months,Online,2992.5553,Minimal,1,1,1,1,1,0,1,1,1,1,0,High,Recommendation,1705.5311,471.82992,Maybe
26-30,Male,Student,20000-50000,Rarely,Instagram,5051.8746,Minimal,1,1,0,1,1,1,1,0,0,1,1,Medium,Recommendation,2299.2576,474.12095,Yes
30,Male,Student,100000,Weekly,Instagram,4487.7819,Trendy,0,1,1,1,1,1,1,1,1,1,0,Low,Price,4726.0247,356.02689,Yes
30,Female,Student,100000,Monthly,Mixed,1614.0533,Formal,1,0,0,1,0,1,1,1,1,1,0,High,Brand,419.55055,255.7269,Yes
22-25,Female,Working Professional,<20000,2-3 months,Online,3214.5475,Trendy,1,1,0,1,0,1,1,0,1,1,1,Medium,Price,1271.4878,383.84742,Yes
26-30,Male,Working Professional,<20000,Monthly,Offline,3257.076,Trendy,1,0,1,1,1,1,0,1,1,0,1,Medium,Trend,2171.5199,199.89696,Maybe
30,Male,Working Professional,20000-50000,Monthly,Online,500,Formal,1,1,0,0,0,1,1,0,1,1,0,Medium,Recommendation,1251.5268,255.11216,Yes
26-30,Male,Working Professional,50000-100000,Weekly,Online,2038.1065,Experimental,1,0,0,0,1,1,1,1,1,0,0,High,Recommendation,1886.842,188.62163,Yes
18-21,Female,Working Professional,100000,2-3 months,Online,2458.3727,Experimental,0,1,0,1,1,1,1,1,1,1,1,Low,Recommendation,5209.3518,436.25496,Maybe
22-25,Male,Student,20000-50000,Monthly,Offline,6867.25,Formal,1,0,1,1,0,1,1,1,0,1,0,Medium,Price,2052.8604,417.00089,Yes
18-21,Male,Student,50000-100000,2-3 months,Online,4382.9014,Formal,1,0,0,1,0,1,1,0,1,1,0,High,Fit,3117.4728,294.79766,Yes
30,Male,Student,<20000,Monthly,Online,15973.013,Minimal,1,0,1,1,0,1,1,1,1,0,0,Medium,Price,600,559.68785,No
26-30,Male,Working Professional,50000-100000,2-3 months,Offline,1002.729,Minimal,1,1,1,0,0,1,0,1,1,0,1,Medium,Recommendation,846.3441,361.87719,Maybe
18-21,Male,Student,100000,2-3 months,Instagram,6388.429,Minimal,1,1,0,1,1,1,1,0,1,1,1,Low,Brand,3899.0254,353.43413,Yes
26-30,Male,Student,20000-50000,2-3 months,Instagram,6602.2041,Minimal,1,0,0,0,1,1,0,1,1,1,0,Low,Brand,5002.0427,337.36804,Yes
26-30,Female,Working Professional,20000-50000,Monthly,Mixed,500,Casual,0,0,0,1,0,1,1,1,1,1,1,High,Price,2832.1159,110.65698,Maybe
22-25,Female,Working Professional,<20000,Monthly,Online,2589.3666,Casual,1,0,1,0,1,1,1,1,1,0,1,Medium,Price,2040.9756,165.85803,Yes
18-21,Female,Student,20000-50000,2-3 months,Mixed,4991.5311,Experimental,1,0,0,1,0,1,1,1,1,1,1,Low,Trend,3244.2424,291.80431,Yes
26-30,Female,Working Professional,20000-50000,Monthly,Mixed,15866.331,Casual,1,1,1,0,0,1,1,1,1,1,1,Medium,Price,600,293.04248,Yes
22-25,Female,Working Professional,<20000,Monthly,Online,2643.0105,Casual,1,1,1,1,0,1,0,1,1,1,0,Medium,Price,2843.682,388.46441,Maybe
26-30,Female,Working Professional,20000-50000,Weekly,Online,3389.0011,Minimal,0,1,0,1,1,1,0,0,0,0,1,Medium,Recommendation,930.8341,199.81993,Maybe
22-25,Female,Self-employed,20000-50000,Rarely,Online,2805.2379,Minimal,1,1,1,0,1,1,1,1,1,0,1,High,Fit,3691.1395,310.60301,Yes
30,Female,Student,20000-50000,Weekly,Online,12662.508,Formal,1,1,0,0,1,0,1,1,0,1,0,Medium,Recommendation,600,313.28402,Yes
22-25,Male,Student,20000-50000,2-3 months,Offline,6394.3571,Minimal,0,1,1,0,0,1,1,1,0,1,1,Low,Fit,1557.436,319.22926,Yes
22-25,Male,Working Professional,<20000,Monthly,Offline,2457.9157,Formal,1,0,0,1,0,0,0,0,1,0,1,High,Recommendation,2438.5362,302.46218,No
30,Female,Working Professional,50000-100000,Monthly,Instagram,6001.641,Formal,1,0,1,0,1,1,1,0,1,1,1,Medium,Recommendation,1357.3132,89.423997,Yes
22-25,Non-binary,Working Professional,50000-100000,2-3 months,Offline,2436.6559,Casual,1,1,1,1,0,1,1,1,0,0,1,Low,Trend,1936.7734,50,Yes
18-21,Female,Working Professional,20000-50000,Weekly,Online,2304.7456,Minimal,1,0,0,0,0,1,0,0,1,1,0,High,Fit,3856.6515,158.73545,Maybe
18-21,Female,Working Professional,<20000,Monthly,Mixed,5637.1892,Casual,1,0,1,1,1,1,0,1,1,0,1,Medium,Recommendation,2463.256,220.33155,Yes
26-30,Female,Self-employed,50000-100000,2-3 months,Online,5843.8728,Minimal,1,1,1,1,0,0,1,0,0,0,0,Medium,Recommendation,1104.1288,123.23222,Yes
26-30,Female,Self-employed,100000,2-3 months,Mixed,5702.8199,Casual,1,1,0,1,0,1,1,1,1,1,0,High,Fit,3910.6001,291.64892,Yes
26-30,Male,Working Professional,20000-50000,Weekly,Online,1368.4052,Casual,1,1,1,1,0,0,1,1,1,0,1,High,Trend,2876.4713,463.51605,Maybe
18-21,Male,Student,20000-50000,2-3 months,Mixed,3068.098,Casual,1,1,0,0,1,0,1,1,1,0,1,High,Fit,2938.7312,408.90497,Yes
18-21,Female,Working Professional,<20000,2-3 months,Online,5645.9772,Experimental,0,0,1,1,1,0,0,0,1,1,1,Medium,Trend,1161.2335,369.94999,No
18-21,Female,Student,20000-50000,2-3 months,Online,4083.0837,Casual,0,1,0,1,0,1,1,0,1,0,1,High,Trend,300,447.79661,Yes
22-25,Female,Student,<20000,Monthly,Online,1852.6143,Trendy,1,0,1,1,0,1,0,1,1,1,0,Medium,Brand,1140.8031,161.30654,Maybe
22-25,Female,Working Professional,20000-50000,Monthly,Instagram,4916.6359,Trendy,0,1,0,0,0,1,1,1,0,0,1,High,Trend,988.19713,231.48056,Yes
22-25,Female,Student,50000-100000,Rarely,Mixed,2570.3855,Trendy,1,1,0,1,0,0,1,0,1,1,1,High,Brand,1580.0546,392.22703,Maybe
22-25,Female,Student,20000-50000,2-3 months,Online,22767.149,Formal,1,1,0,1,1,1,1,1,0,1,0,Low,Price,2474.433,228.8205,Yes
30,Male,Student,20000-50000,Monthly,Mixed,7089.6829,Casual,1,1,1,1,0,1,1,0,0,0,0,High,Trend,2669.0478,237.02603,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Offline,5208.1949,Trendy,0,1,1,1,0,0,0,1,1,1,1,Medium,Fit,3821.3162,579.36287,No
22-25,Female,Working Professional,20000-50000,Monthly,Offline,6722.0134,Formal,0,1,1,1,1,1,0,0,0,1,0,High,Brand,4114.2421,314.31631,Maybe
26-30,Male,Working Professional,<20000,Monthly,Mixed,4129.5827,Trendy,0,0,1,0,0,1,1,1,1,0,0,High,Price,3755.8178,564.54393,Yes
22-25,Female,Student,<20000,Monthly,Online,5530.875,Minimal,1,1,1,0,1,1,1,1,1,1,1,Medium,Price,1153.5625,50,Yes
26-30,Female,Working Professional,100000,Monthly,Online,6955.4406,Experimental,1,1,1,1,0,1,1,0,0,1,1,Medium,Trend,2588.3512,205.37005,Yes
30,Female,Working Professional,<20000,2-3 months,Mixed,4490.9974,Casual,0,1,1,0,0,1,1,1,1,0,1,Medium,Fit,4847.7488,361.32249,Yes
30,Male,Working Professional,50000-100000,Weekly,Mixed,3489.6257,Experimental,1,1,0,0,0,1,0,0,1,1,1,Medium,Trend,300,314.05989,Yes
18-21,Non-binary,Working Professional,100000,2-3 months,Mixed,590.75608,Experimental,1,1,1,1,0,1,1,0,1,0,0,High,Recommendation,4522.3451,50,Yes
30,Male,Student,20000-50000,Weekly,Mixed,3833.7329,Minimal,1,0,1,1,1,0,1,1,1,1,0,High,Price,1005.845,265.56312,Yes
22-25,Female,Self-employed,20000-50000,Monthly,Online,5646.8464,Minimal,0,0,0,1,1,1,1,1,1,0,1,Medium,Recommendation,2940.6479,670.95264,Yes
22-25,Male,Working Professional,20000-50000,Weekly,Mixed,5891.2669,Minimal,1,1,1,0,0,1,1,0,0,1,1,Medium,Recommendation,3119.1777,337.03692,Yes
22-25,Female,Self-employed,100000,Monthly,Online,5008.7301,Formal,1,1,1,1,1,1,1,1,1,0,1,Medium,Brand,2784.8696,390.6654,Yes
30,Male,Working Professional,100000,2-3 months,Mixed,2917.4018,Trendy,1,0,0,0,1,1,1,1,0,0,0,High,Recommendation,5842.7093,203.40852,Yes
22-25,Female,Working Professional,50000-100000,2-3 months,Online,500,Casual,0,1,0,1,0,1,1,1,1,1,1,High,Price,2048.7521,336.49262,Maybe
22-25,Female,Working Professional,<20000,Monthly,Offline,3009.5698,Minimal,0,1,0,1,0,0,0,0,1,0,0,Low,Price,300,298.15077,Yes
26-30,Female,Working Professional,50000-100000,Monthly,Offline,3391.3103,Casual,1,1,0,1,0,1,1,0,1,1,0,High,Fit,3034.6706,467.82216,Yes
18-21,Male,Self-employed,20000-50000,Monthly,Online,3374.1421,Casual,0,0,0,1,1,1,0,0,1,0,0,Medium,Trend,2244.94,463.05013,Maybe
18-21,Female,Working Professional,20000-50000,2-3 months,Online,5237.1127,Casual,1,1,0,0,0,1,1,0,1,0,1,High,Fit,3332.2018,361.12742,Yes
18-21,Male,Student,<20000,2-3 months,Mixed,7971.3528,Minimal,1,1,0,1,0,1,1,1,1,1,1,Low,Fit,3823.1429,310.64487,Yes
18-21,Female,Working Professional,<20000,Monthly,Mixed,4247.0584,Minimal,1,1,1,0,0,0,1,1,1,0,1,Low,Trend,2449.4655,50,No
18-21,Male,Working Professional,50000-100000,2-3 months,Online,3566.5364,Trendy,1,0,0,1,1,1,1,0,1,1,0,Medium,Price,3154.4656,50,Yes
18-21,Male,Working Professional,20000-50000,2-3 months,Instagram,3481.5564,Minimal,1,0,0,1,1,1,1,1,1,1,1,Medium,Brand,2716.3569,312.28664,Yes
26-30,Male,Student,20000-50000,Weekly,Offline,4248.7695,Minimal,1,0,0,1,0,1,1,0,1,1,1,Low,Recommendation,5187.8312,431.19512,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Online,2343.4125,Casual,1,1,0,1,0,1,1,0,1,0,0,Medium,Brand,1944.1574,499.76191,Yes
22-25,Female,Working Professional,100000,Rarely,Online,4240.3971,Trendy,1,0,1,1,1,1,0,1,1,1,1,Low,Recommendation,1469.3947,166.53919,Yes
30,Female,Working Professional,50000-100000,2-3 months,Mixed,4901.6247,Experimental,1,1,1,1,0,0,1,1,0,1,1,Medium,Trend,3821.0964,73.614211,Yes
22-25,Male,Working Professional,20000-50000,Monthly,Instagram,4419.3721,Minimal,1,0,1,0,0,0,1,1,0,0,0,High,Trend,1106.2303,439.94387,Yes
26-30,Female,Working Professional,<20000,Monthly,Offline,4915.0839,Minimal,1,0,0,1,1,1,1,1,0,1,0,Low,Fit,3088.2367,177.79623,Yes
18-21,Female,Student,20000-50000,Monthly,Offline,4867.4952,Experimental,1,0,1,1,1,1,0,0,1,1,1,Medium,Trend,2245.6163,63.43976,Yes
18-21,Female,Working Professional,100000,Monthly,Online,500,Casual,0,1,0,1,0,1,1,1,1,0,0,Medium,Recommendation,2348.019,225.94828,Maybe
18-21,Female,Student,20000-50000,2-3 months,Online,5273.7403,Trendy,1,1,0,0,0,1,0,1,1,1,0,Low,Brand,6155.9569,223.33515,Yes
18-21,Male,Student,20000-50000,Monthly,Online,2657.9703,Casual,0,1,0,0,1,0,1,1,1,1,1,Low,Brand,4351.1301,498.02566,No
22-25,Female,Working Professional,20000-50000,2-3 months,Online,1808.3217,Formal,1,1,1,1,1,1,1,1,0,0,1,High,Brand,4032.3693,429.84509,Yes
18-21,Male,Self-employed,20000-50000,2-3 months,Offline,1791.0963,Minimal,1,0,0,1,1,1,1,0,1,0,1,Medium,Brand,3295.856,189.39193,Yes
18-21,Female,Working Professional,50000-100000,Weekly,Mixed,4867.0832,Formal,0,1,1,0,1,1,1,1,1,1,1,Medium,Fit,1462.7288,509.69315,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Online,3554.8501,Minimal,0,1,0,1,0,0,1,0,1,0,1,Medium,Brand,2892.2225,318.75388,Maybe
22-25,Female,Working Professional,<20000,Monthly,Online,636.06243,Formal,1,1,0,1,1,1,1,1,0,0,0,High,Recommendation,3374.9865,459.12535,Yes
18-21,Female,Working Professional,<20000,2-3 months,Offline,14868.227,Experimental,1,0,1,1,0,0,0,1,0,1,0,High,Fit,5596.9563,499.07678,Maybe
22-25,Female,Student,20000-50000,Monthly,Mixed,1120.7837,Minimal,1,1,0,0,1,1,1,0,0,0,0,High,Fit,2642.1255,260.61106,Yes
22-25,Male,Self-employed,100000,2-3 months,Instagram,4279.6427,Minimal,1,0,1,1,1,1,1,1,1,1,1,High,Fit,1903.8261,385.69794,Yes
26-30,Female,Working Professional,20000-50000,2-3 months,Mixed,4476.9979,Formal,1,0,0,1,0,1,1,0,1,0,1,High,Trend,2910.188,238.98623,Yes
18-21,Male,Working Professional,100000,Monthly,Offline,5771.1542,Trendy,0,0,0,1,1,1,1,0,1,0,0,High,Fit,1711.643,439.51534,Yes
26-30,Female,Student,50000-100000,Rarely,Instagram,7563.3696,Formal,1,0,1,1,0,1,0,1,1,0,0,Medium,Recommendation,3555.1348,313.54127,Yes
26-30,Female,Working Professional,20000-50000,Rarely,Online,1270.6473,Minimal,0,1,1,1,0,1,1,0,0,1,1,High,Brand,300,444.04833,Maybe
18-21,Male,Student,<20000,Weekly,Online,3895.0523,Minimal,1,1,0,1,0,0,1,0,1,1,0,Medium,Trend,4538.1153,528.7135,Yes
30,Female,Student,<20000,Monthly,Online,3447.3294,Trendy,0,1,1,1,1,1,0,1,1,1,0,Medium,Brand,532.50115,382.08477,Maybe
30,Female,Working Professional,50000-100000,Rarely,Offline,4867.4994,Casual,1,0,1,0,0,0,1,1,1,1,1,Medium,Price,899.11746,285.98102,Yes
18-21,Female,Working Professional,<20000,Rarely,Mixed,4431.3375,Trendy,1,0,0,1,0,1,0,1,1,0,1,High,Trend,3113.2813,288.47582,Yes
22-25,Female,Working Professional,20000-50000,Weekly,Mixed,3294.9075,Casual,1,0,1,0,1,1,1,1,1,0,0,High,Recommendation,3309.9127,50,Yes
26-30,Male,Working Professional,20000-50000,Weekly,Online,3118.1956,Minimal,1,1,0,0,0,1,1,1,1,1,1,Medium,Trend,5617.417,193.08085,Yes
26-30,Female,Working Professional,50000-100000,Weekly,Online,1767.0983,Experimental,0,0,0,1,1,0,1,1,1,0,1,Medium,Fit,2944.4268,439.88603,No
18-21,Male,Working Professional,<20000,Rarely,Online,5975.7232,Experimental,1,1,1,1,0,1,1,1,0,0,0,High,Trend,2439.3179,445.48218,Yes
18-21,Male,Working Professional,20000-50000,Weekly,Online,4918.4084,Formal,0,0,0,0,0,1,1,0,0,0,1,High,Fit,2786.9491,189.81485,Yes
22-25,Female,Student,20000-50000,Monthly,Offline,5835.5364,Trendy,1,1,1,0,0,1,1,1,0,1,1,Medium,Brand,4885.7316,324.68619,Yes
22-25,Male,Working Professional,20000-50000,2-3 months,Mixed,3379.2077,Trendy,0,0,0,1,1,1,1,0,0,1,0,Medium,Trend,6136.6,271.61004,Yes
26-30,Female,Self-employed,50000-100000,Weekly,Mixed,2686.3291,Experimental,0,0,0,1,0,1,0,0,1,1,1,Low,Trend,2222.7996,403.44036,No
22-25,Non-binary,Working Professional,<20000,2-3 months,Offline,1843.3699,Casual,0,0,1,1,0,0,0,1,1,1,0,Low,Recommendation,3314.1586,631.29221,No
22-25,Female,Working Professional,50000-100000,Monthly,Mixed,4717.8352,Trendy,1,0,1,0,1,1,0,1,1,1,0,High,Price,2388.4162,406.27029,Yes
26-30,Male,Working Professional,50000-100000,2-3 months,Offline,1920.4136,Casual,1,0,1,0,1,1,1,1,1,1,0,Medium,Trend,2358.6005,199.47338,Yes
18-21,Female,Working Professional,20000-50000,Monthly,Online,7697.3261,Casual,1,1,0,1,0,1,1,0,1,0,1,High,Brand,5318.5759,288.23707,Yes
22-25,Female,Working Professional,50000-100000,2-3 months,Offline,1384.7148,Casual,0,0,0,1,1,1,1,1,0,0,0,High,Fit,1111.4024,510.28924,Maybe
26-30,Male,Student,20000-50000,2-3 months,Offline,4547.3202,Casual,1,0,1,1,1,1,0,0,1,1,1,Low,Brand,300,88.698461,Yes
30,Male,Working Professional,<20000,Monthly,Instagram,21401.128,Formal,1,0,1,1,0,0,0,0,1,0,1,High,Recommendation,5952.3331,207.74135,Maybe
22-25,Female,Working Professional,50000-100000,Weekly,Online,5198.1795,Formal,1,1,0,1,0,1,1,1,1,0,0,High,Trend,4301.5098,406.49459,Yes
22-25,Female,Working Professional,20000-50000,Monthly,Online,4351.3474,Experimental,1,1,0,1,0,1,0,0,1,0,1,Low,Price,2829.8449,494.14969,Yes
